읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110106,서울특별시,11110,종로구,통의동,126.97288848,37.57808301,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.37
11110106,서울특별시,11110,종로구,통의동,126.97288848,37.57808301,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.41
11110106,서울특별시,11110,종로구,통의동,126.97288848,37.57808301,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,24.12
11110145,서울특별시,11110,종로구,송현동,126.98186028,37.57677379,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.90
11110145,서울특별시,11110,종로구,송현동,126.98186028,37.57677379,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.97
11110145,서울특별시,11110,종로구,송현동,126.98186028,37.57677379,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.20
11110132,서울특별시,11110,종로구,운니동,126.98826292,37.57639631,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.73
11110132,서울특별시,11110,종로구,운니동,126.98826292,37.57639631,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.24
11110132,서울특별시,11110,종로구,운니동,126.98826292,37.57639631,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.77
11110107,서울특별시,11110,종로구,적선동,126.97379176,37.57532159,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.68
11110107,서울특별시,11110,종로구,적선동,126.97379176,37.57532159,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.09
11110107,서울특별시,11110,종로구,적선동,126.97379176,37.57532159,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,24.07
48129134,경상남도,48120,창원시,평안동,128.65975130,35.15009037,1,창원시립상복공원,경상남도,창원시,128.63623797,35.18624320,4.55
48129134,경상남도,48120,창원시,평안동,128.65975130,35.15009037,2,창원시립마산화장장,경상남도,창원시,128.50859539,35.13408177,13.86
48129134,경상남도,48120,창원시,평안동,128.65975130,35.15009037,3,김해추모의공원,경상남도,김해시,128.82211902,35.24307806,18.02
48129138,경상남도,48120,창원시,태백동,128.66609512,35.16982028,1,창원시립상복공원,경상남도,창원시,128.63623797,35.18624320,3.27
48129138,경상남도,48120,창원시,태백동,128.66609512,35.16982028,2,창원시립마산화장장,경상남도,창원시,128.50859539,35.13408177,14.86
48129138,경상남도,48120,창원시,태백동,128.66609512,35.16982028,3,김해추모의공원,경상남도,김해시,128.82211902,35.24307806,16.35
11110133,서울특별시,11110,종로구,익선동,126.98968631,37.57434310,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.47
11110133,서울특별시,11110,종로구,익선동,126.98968631,37.57434310,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.50
11110133,서울특별시,11110,종로구,익선동,126.98968631,37.57434310,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.52
11110151,서울특별시,11110,종로구,묘동,126.99173270,37.57243312,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.21
11110151,서울특별시,11110,종로구,묘동,126.99173270,37.57243312,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.78
11110151,서울특별시,11110,종로구,묘동,126.99173270,37.57243312,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.24
11110136,서울특별시,11110,종로구,인사동,126.98607545,37.57171624,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.31
11110136,서울특별시,11110,종로구,인사동,126.98607545,37.57171624,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.58
11110136,서울특별시,11110,종로구,인사동,126.98607545,37.57171624,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.54
11110127,서울특별시,11110,종로구,공평동,126.98317830,37.57130661,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.36
11110127,서울특별시,11110,종로구,공평동,126.98317830,37.57130661,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.48
11110127,서울특별시,11110,종로구,공평동,126.98317830,37.57130661,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.69
11110123,서울특별시,11110,종로구,서린동,126.98043547,37.56952528,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.27
11110123,서울특별시,11110,종로구,서린동,126.98043547,37.56952528,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.53
11110123,서울특별시,11110,종로구,서린동,126.98043547,37.56952528,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.72
11110154,서울특별시,11110,종로구,장사동,126.99402964,37.56923291,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.81
